n:147 mse_avg:19.31 mse_y:28.43 mse_u:1.44 mse_v:0.73 psnr_avg:35.27 psnr_y:33.59 psnr_u:46.56 psnr_v:49.51 
n:148 mse_avg:19.04 mse_y:28.05 mse_u:1.29 mse_v:0.75 psnr_avg:35.33 psnr_y:33.65 psnr_u:47.04 psnr_v:49.38 
n:149 mse_avg:15.55 mse_y:22.93 mse_u:0.96 mse_v:0.66 psnr_avg:36.21 psnr_y:34.53 psnr_u:48.33 psnr_v:49.96 
n:150 mse_avg:11.10 mse_y:16.34 mse_u:0.68 mse_v:0.56 psnr_avg:37.68 psnr_y:36.00 psnr_u:49.84 psnr_v:50.64 
n:151 mse_avg:10.94 mse_y:16.12 mse_u:0.63 mse_v:0.51 psnr_avg:37.74 psnr_y:36.06 psnr_u:50.11 psnr_v:51.02 
n:152 mse_avg:14.81 mse_y:21.84 mse_u:0.93 mse_v:0.61 psnr_avg:36.42 psnr_y:34.74 psnr_u:48.43 psnr_v:50.29 
n:153 mse_avg:16.45 mse_y:24.21 mse_u:1.21 mse_v:0.64 psnr_avg:35.97 psnr_y:34.29 psnr_u:47.30 psnr_v:50.07 
n:154 mse_avg:17.83 mse_y:26.26 mse_u:1.28 mse_v:0.65 psnr_avg:35.62 psnr_y:33.94 psnr_u:47.07 psnr_v:50.00 
n:155 mse_avg:16.53 mse_y:24.34 mse_u:1.22 mse_v:0.61 psnr_avg:35.95 psnr_y:34.27 psnr_u:47.28 psnr_v:50.30 
n:156 mse_avg:12.66 mse_y:18.63 mse_u:0.90 mse_v:0.56 psnr_avg:37.11 psnr_y:35.43 psnr_u:48.59 psnr_v:50.67 
n:157 mse_avg:7.25 mse_y:10.64 mse_u:0.53 mse_v:0.41 psnr_avg:39.53 psnr_y:37.86 psnr_u:50.87 psnr_v:52.01 
n:158 mse_avg:2.83 mse_y:4.08 mse_u:0.39 mse_v:0.31 psnr_avg:43.61 psnr_y:42.03 psnr_u:52.25 psnr_v:53.25 
n:159 mse_avg:6.54 mse_y:9.56 mse_u:0.62 mse_v:0.39 psnr_avg:39.98 psnr_y:38.33 psnr_u:50.22 psnr_v:52.18 
n:160 mse_avg:10.68 mse_y:15.65 mse_u:0.97 mse_v:0.49 psnr_avg:37.85 psnr_y:36.19 psnr_u:48.27 psnr_v:51.26 
n:161 mse_avg:12.86 mse_y:18.87 mse_u:1.16 mse_v:0.51 psnr_avg:37.04 psnr_y:35.37 psnr_u:47.49 psnr_v:51.10 
